scaffold1	scaffold2	connections
34528	8966	1
18951	27989	4
36887	50193	4
30126	45229	5
13746	7679	9
5042	7041	11
26437	47629	4
31199	42488	1
5040	9357	8
19581	9029	21
203	37962	7
4964	4965	13
30994	9708	12
26793	6736	18
26150	47357	13
17176	26698	3
3979	46274	3
45918	51077	100
1012	446	5
24123	2467	1
2636	3640	161
2589	26841	11
34736	46468	7
51800	51801	60
2913	512	22
17137	18771	3
11535	53025	23
80318	80754	1
42919	47293	70
13466	29181	6
7589	7590	10
11632	9580	1
89745	92523	2
28183	8313	10
58716	64876	53
22826	40678	5
31071	59902	2
31140	3238	13
33701	33702	6
53259	9304	12
73345	80668	3
37876	64885	2
80603	82243	1
36568	63845	1
35655	4903	11
73431	91546	2
19620	29465	7
3227	32609	5
31202	31203	1
34043	56239	4
19603	3590	9
74553	85491	2
18599	36405	1
22374	3015	1
17344	7469	12
38676	42165	5
18519	38710	5
55054	62802	2
43699	43700	5
30107	30240	6
14765	46854	3
6927	8053	40
18138	40514	3
28883	28884	2
31319	37698	3
17169	2565	9
55342	8253	1
10908	61983	1
38871	43204	4
8834	9985	18
42123	47892	11
72439	74877	1
38590	44112	2
2343	24331	10
240	241	12
17252	30044	9
39090	6232	2
20498	35188	2
21357	34785	1
2271	3847	7
3919	8625	7
3644	64247	1
21258	29563	3
50050	50051	2
3830	40218	1
4307	46976	1
6508	71247	1
11145	376	1
29583	37081	10
27922	4698	27
19486	6496	2
26797	53365	1
13678	39161	1
4039	4108	40
12660	4946	1
22670	49683	22
35800	55265	2
23669	41539	1
29146	8504	1
56212	59802	1
33724	62862	2
8494	8579	1
22746	40989	1
65397	70203	1
24527	446	26
26826	3218	31
35710	51343	6
23051	65809	2
22870	41171	5
19497	9526	1
14543	4056	2
30754	42880	1
59880	89695	2
4483	7489	8
30339	58499	1
31063	41206	3
3632	59750	5
2586	50032	8
10482	16291	10
13431	7928	22
13986	4205	31
1154	8563	21
31547	65723	2
18257	43458	8
6203	729	11
2930	662	9
45630	6906	11
8840	9668	7
10179	66504	1
23200	52212	1
12582	8335	2
37619	40773	5
1041	38	4
26246	26246	20
46505	96116	1
79080	86816	4
34287	84676	3
23839	28634	1
38470	47896	6
2183	25745	6
28734	35263	2
21285	55812	1
24433	24434	3
43471	69793	1
11913	3605	35
36135	45629	5
52913	94043	1
48216	6193	2
25600	36049	3
22987	7596	13
63014	79144	1
39877	41355	6
14112	28341	46
13196	6179	7
26744	32343	4
13669	13856	2
1876	6200	48
37025	63197	5
13749	53698	33
65048	86759	3
19416	7286	6
28822	51885	36
32746	49757	5
34122	40194	1
31612	38143	5
13058	1332	3
7387	9310	2
63961	65771	3
24241	29294	154
21851	29105	110
18176	25138	10
23689	39119	15
51262	64367	2
29255	49504	24
12522	1830	92
12125	12126	15
16498	26601	94
24460	472	5
22832	22833	4
69899	74614	1
36273	5051	2
10716	35352	9
43495	48720	1
59408	67348	9
4214	62196	4
24925	51368	3
24456	3469	3
18609	60250	1
14382	34945	5
4184	4812	7
38734	39092	5
17151	42441	1
23236	25290	18
45950	61943	1
49325	5691	3
12807	13519	3
76012	86741	1
31001	66168	2
21625	30829	3
6930	8018	5
30918	37960	64
14418	23041	1
13193	7994	1
51126	64564	2
24017	612	23
13035	4271	5
17982	31456	8
44297	49458	58
31005	5337	11
56633	89545	1
72960	87510	1
60442	64059	2
31788	69720	1
8034	9302	1
16279	30199	4
19980	31678	128
1990	58037	2
18691	55629	4
43462	59435	6
2170	8450	1
24845	5285	16
15594	37966	60
72159	86021	1
26467	38389	66
70055	92756	2
1470	6969	5
85378	90753	1
11301	47635	2
23703	25355	1
89777	92183	1
30807	4472	1
61414	64413	1
46265	58462	4
28130	42260	2
21376	40407	3
67831	77537	3
57659	9718	1
67274	94115	2
3146	4117	10
29380	54189	126
22971	29664	8
66358	69508	1
60618	64523	5
29844	61443	3
2305	6066	9
21663	4484	3
45959	61277	4
20084	20085	3
90477	94629	1
12306	5880	13
40268	5352	5
19691	19692	11
24132	35187	18
1798	49710	1
32382	47416	3
17312	43192	17
1371	1501	4
11096	59138	1
15464	2878	42
46106	46107	2
13372	42885	5
12427	65058	2
31892	3623	2
2156	22001	2
12605	47002	1
83477	85197	5
61950	66891	7
27542	34244	10
10093	11449	5
13072	13073	6
73497	75504	2
25329	63060	1
7206	9029	1
67905	6932	2
17774	3829	9
25023	25024	11
14817	53431	2
13206	3240	4
12470	19472	93
17935	18974	18
16147	27510	13
82757	9767	3
48206	7454	48
13669	13671	1
16733	49437	10
2294	2295	13
17419	28763	4
11940	12576	64
71277	89470	3
2396	27389	8
16637	16638	4
30045	8320	1
12341	27729	2
90040	90453	5
1834	6556	30
14347	33372	16
16382	23227	3
37960	64916	1
45129	61805	3
16508	21052	8
232	2746	1
4223	8214	3
29932	8059	6
10787	24191	5
25848	44257	7
29293	43701	1
2909	33011	8
13194	17238	1
81128	85616	2
2719	6448	176
14628	6462	5
4494	49301	1
44630	53911	1
41590	73119	1
16617	1989	5
18185	9551	1
1521	27185	1
11980	4820	1
19341	24199	20
6619	8822	5
58032	58084	8
31480	40270	7
36117	3830	1
15745	58800	1
31974	3434	3
1874	44676	14
172	2151	12
91952	93498	2
60195	83822	2
90380	96123	1
20423	20424	2
10412	11106	96
10861	28334	6
12442	17398	10
19330	28706	1
85143	88404	1
13291	41644	7
78677	83605	3
44249	44617	9
31382	36211	1
23125	23126	1
25036	8829	3
10156	959	1
14615	9557	1
45019	47450	9
20216	38735	26
44999	55200	4
27720	49042	7
29192	51361	5
13160	34119	2
16827	22990	31
35099	3605	12
25222	45008	1
4261	4262	1
16633	43319	1
59211	59212	3
27726	6395	12
15202	48939	1
15567	5967	17
30823	65295	21
39560	42084	29
34604	8158	4
35546	86618	1
63322	82822	3
45317	72503	4
18359	18429	13
77892	84340	2
81704	81705	1
45282	50139	2
43354	45929	7
18973	6512	1
54244	57517	1
32303	53349	55
19958	89195	6
16993	30321	14
32708	8613	5
60142	65954	6
9367	9851	10
14536	8605	11
42912	6922	1
26157	51994	8
72131	83365	1
34703	56474	1
35139	43020	1
18333	31089	14
48634	59500	1
26863	32815	1
16025	30588	41
11558	5308	1
19744	8416	2
2875	6717	10
38460	43801	54
23500	70620	1
144	8697	4
14062	31845	66
1725	8112	1
74140	81043	1
47883	47884	52
53928	69036	2
28876	42734	5
15485	22788	86
11852	12156	37
72132	78787	1
59426	59427	1
79776	82920	2
46904	64312	1
24197	53898	1
25142	4584	9
20663	5410	21
64985	68597	9
30494	46145	5
25304	86388	1
24720	7170	1
17971	23735	4
73801	78330	2
43499	66312	1
40245	57815	57
52523	54037	1
16473	51247	4
11076	25533	8
59706	87239	2
3988	67430	5
19870	2685	2
16912	9913	1
62776	74840	2
3931	5824	5
22394	45564	4
14554	299	3
34189	50477	5
59568	64556	2
14182	37	1
93594	96598	1
11245	4741	2
8283	8284	86
28277	48495	170
27343	4807	5
88365	8941	5
40458	41041	271
1003	33863	3
70796	72049	1
64737	68897	2
44544	45346	4
11645	15025	3
90140	92538	6
72406	84493	4
73828	78813	2
50397	54416	1
78461	81022	5
40136	46528	10
53874	96751	1
19118	42449	4
2265	41315	1
19935	3527	1
78860	87407	1
76307	79836	2
82939	85624	2
56658	80254	4
38180	39777	4
71991	83941	1
62906	67963	20
3956	718	3
11099	35257	7
13935	27100	7
52620	7790	8
21588	59770	17
1663	23445	1
55934	87930	1
57779	68844	6
57977	70638	4
20019	28424	11
80926	84411	2
34464	79439	1
10218	57614	5
31530	44192	1
3931	9785	1
2320	6323	5
73581	87633	5
10408	45687	6
61172	61173	3
37935	44601	8
26925	30433	14
44181	67372	5
11840	34266	6
1499	1500	5
20768	32428	28
29304	56927	1
32794	44764	9
23442	3604	22
23305	7086	4
50753	70022	3
37456	41387	3
36036	58591	12
13113	4693	5
36864	54837	3
62202	68732	1
434	5207	3
2955	5114	1
11440	1457	5
3460	9611	5
10636	17076	2
21425	46801	7
21333	32864	3
87112	90121	5
1012	19874	1
12792	32953	5
67568	70735	1
4137	47947	4
56341	66518	1
23431	44044	25
22531	33707	2
33657	6358	12
1188	13153	7
85579	85587	1
74415	78434	1
10476	42099	9
32673	34144	1
34305	4953	19
39909	45072	6
71358	96849	3
16957	8306	2
2751	4995	1
43146	43147	3
28494	36108	6
57629	59096	1
1597	6762	1
37386	64472	1
20104	30551	4
42042	67813	1
27987	36743	1
19287	5121	9
15185	23451	9
49284	68943	17
36919	53129	5
219	2450	2
