scaffold1	scaffold2	connections
40268	5352	1
11222	2698	1
13827	8825	1
14536	20104	2
4291	843	1
24132	35187	1
24005	24006	7
27354	8836	1
1371	1501	19
12691	4224	1
24310	7510	1
43904	52335	4
14423	3519	3
2664	88	1
17309	30656	1
2785	33637	2
12543	20900	1
10300	14595	1
26919	4994	1
22092	7868	1
25023	25024	10
14817	53431	3
3229	34985	1
13206	3240	25
13139	15337	1
28642	38309	1
16147	27510	3
1331	6533	1
34757	49813	1
35223	46789	1
25010	39511	5
13079	40603	1
17419	28763	4
12826	7886	1
14775	3769	1
11086	825	8
46817	47960	1
10246	44316	1
2396	27389	3
25191	53725	2
1353	14907	40
32543	53743	1
20955	334	1
14347	33372	5
16382	23227	15
11301	45062	1
32010	6645	1
45129	61805	1
11741	30933	1
16508	21052	3
28034	61913	2
43887	9264	1
50021	7634	2
40162	9139	3
29075	9403	1
64697	8622	1
18752	541	5
23287	34837	1
11662	18183	1
10787	24191	18
25343	27142	1
45615	51350	2
25848	44257	1
29293	43701	2
2909	33011	5
7642	942	4
44630	53911	3
50373	61185	1
18185	9551	2
25528	40928	3
16686	37530	1
2806	8472	1
21629	784	1
22702	4795	1
10506	21206	9
6619	8822	8
29935	49150	1
30309	4297	4
13058	50856	1
24879	7187	5
17509	49546	1
18597	46508	4
15592	20833	2
1500	6835	2
375	7967	1
24	8341	1
1874	44676	4
172	2151	98
20	9933	1
32154	53943	2
8778	9280	11
36985	9752	1
29897	61627	1
11975	45913	1
26161	27075	1
487	520	25
22276	25679	2
20423	20424	14
12442	17398	11
23125	23126	3
25036	8829	7
15280	3873	1
14615	9557	33
248	5946	1
24650	44969	1
23416	3124	1
45019	47450	2
11851	7841	1
44999	55200	1
44845	62116	2
1904	6209	89
5080	5104	2
16827	22990	2
30951	5829	1
59211	59212	4
32760	35819	3
27726	6395	1
18373	3566	2
10537	35289	4
23111	25682	1
38538	61201	1
12711	42933	2
342	766	11
10804	9479	1
115	21016	1
63966	63967	1
14479	46075	3
12594	2614	2
11657	21098	2
54523	60394	1
41073	41130	4
12654	8926	2
17956	35740	3
22685	27812	4
14733	20183	4
43354	45929	1
18973	6512	1
11550	27365	1
11921	22990	1
15494	22784	4
22708	22709	3
26361	3068	1
17418	23483	1
1339	20924	1
60142	65954	2
9367	9851	4
31116	8476	2
26157	51994	2
10682	28385	1
48634	59500	3
14956	15411	23
11585	13344	2
3098	3099	1
2575	9286	1
3662	4347	1
11358	3655	2
21807	30320	1
14702	4876	21
20083	8999	3
24996	5152	1
26443	65131	1
13373	775	2
14062	31845	3
1725	8112	1
13766	55847	1
2349	27073	1
15652	9357	1
6008	656	1
59426	59427	1
3006	5750	7
17051	28040	1
16226	2487	1
3874	5513	2
1549	24034	12
22071	56147	1
487	519	19
30491	7663	1
43593	614	1
19819	23073	4
31658	40335	4
1068	2988	1
24720	7170	12
62712	63588	1
17971	23735	3
16184	31349	1
