scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
6267	Proteobacteria	8	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	NA;NA;NA;NA;NA;NA;Alphaproteobacteria;Alphaproteobacteria
5856	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
74354	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
13712	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
56628	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
29645	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
94490	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
27732	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
91363	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
19011	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
50291	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
60542	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
16449	Proteobacteria	1	Proteobacteria	NA	NA
20567	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
91631	Proteobacteria	1	Proteobacteria	NA	NA
42391	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
11041	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
1886	Proteobacteria	1	Proteobacteria	NA	NA
1821	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
56706	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
79006	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
41438	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
92182	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
37319	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
58569	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
16380	Deinococcus-Thermus	2	Deinococcus-Thermus;Deinococcus-Thermus	Deinococci	Deinococci;Deinococci
3975	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
89255	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
23455	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
41929	Bacteroidetes/Chlorobi group	10	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
25712	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
87813	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
59106	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
66329	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
85348	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
351	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
62520	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
47977	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
44748	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
13928	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
8232	Proteobacteria	1	Proteobacteria	NA	NA
18441	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
1498	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
88792	Bacteroidetes/Chlorobi group	6	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
54681	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
5766	Proteobacteria	1	Proteobacteria	NA	NA
61120	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
30833	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
65212	Proteobacteria	7	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria
45648	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
63535	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
6328	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
4071	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
87443	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
66585	Bacteroidetes/Chlorobi group	6	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
